Data;SKU;Preco;Log_Preco;Quarta-feira;Terça-feira;previsao_TSCV;previsao_SARIMAX
2025-10-02;46851;152,84;5,029391622578699;0;0;5,7771654470859755;10,083172136476515
2025-10-03;46851;150,2;5,011967739330034;0;0;6,286751361078514;9,82776722242184
2025-10-04;46851;152,51;5,027230167668092;0;0;5,838064796125219;6,915480292599358
2025-10-05;46851;153,07;5,030895333103616;0;0;5,7351732596117335;6,216479482491172
2025-10-06;46851;144,44;4,972864196409257;0;0;7,600042261179487;8,999022431074268
2025-10-07;46851;154,06;5,03734213692482;0;1;7,662147230853473;9,997733001278547
2025-10-08;46851;154,65;5,041164499131079;1;0;8,091899527803161;10,929395011307586
2025-10-09;46851;118,5;4,774912960575186;0;0;19,856008978161878;11,299037332665424
2025-10-10;46851;135,9;4,911919321157098;0;0;10,214676374675832;10,220815999115558
2025-10-11;46851;149,97;5,010435274093589;0;0;6,3336656310163315;6,91142129236797
2025-10-12;46851;149,21;5,00535470965233;0;0;6,491718721931946;6,222283662837797
2025-10-13;46851;154,38;5,039417095521708;0;0;5,50289851203786;8,65247085225044
2025-10-14;46851;151,77;5,022366216971954;0;1;8,239563477006044;9,945592929779936
2025-10-15;46851;151,11;5,018008048425669;1;0;9,053995397009254;10,907280149357023
2025-10-16;46851;152,12;5,024669683060059;0;0;5,911038084691845;10,042237053396816
2025-10-17;46851;152,51;5,027230167668092;0;0;5,838064796125219;9,616410949351158
2025-10-18;46851;155,43;5,046195469494807;0;0;5,324878703989905;6,725663170512644
2025-10-19;46851;153,39;5,0329836977600175;0;0;5,677360020378584;6,075870819075724
2025-10-20;46851;153,08;5,0309606605575015;0;0;5,733355878218123;8,579122462645467
2025-10-21;46851;154,2;5,038250461129229;0;1;7,628456731276696;9,759955819232372
2025-10-22;46851;155,32;5,045487504863466;1;0;7,923956233348856;10,651157846842663
2025-10-23;46851;152,29;5,0257865978636;0;0;5,879094745790413;9,916689885730424
2025-10-24;46851;156,13;5,050688993553429;0;0;5,210051664425535;9,406615791458563
2025-10-25;46851;156,22;5,051265270182151;0;0;5,195505827855246;6,6304484222081745
2025-10-26;46851;155,88;5,049086480470509;0;0;5,2507152385035925;5,961888530264856
2025-10-27;46851;153,64;5,034612203477704;0;0;5,6326820049244315;8,462756444749044
2025-10-28;46851;153,08;5,0309606605575015;0;1;7,903073631479592;9,672357755296652
2025-10-29;46851;157,0;5,056245805348308;1;0;7,52098505647443;10,475062458879139
2025-09-30;67020;55,68;4,019621016026164;0;1;0,1966604221443886;0,026585995337246295
2025-10-01;67020;60,63;4,1047898200836395;1;0;0,28530307278921613;0,02579000617011886
2025-10-02;67020;60,84;4,1082474673910925;0;0;0,270977516238184;0,021924824382335537
2025-10-03;67020;61,87;4,125035409542898;0;0;0,2887546452003375;0,018698722661036903
2025-10-04;67020;61,87;4,125035409542898;0;0;0,2887546452003375;0,016737040818219053
2025-10-05;67020;61,87;4,125035409542898;0;0;0,2887546452003375;0,023255227444553047
2025-10-06;67020;61,87;4,125035409542898;0;0;0,2887546452003375;0,025458890586830128
