Data;SKU;Preco;Log_Preco;Quarta-feira;Terça-feira;previsao_TSCV;previsao_SARIMAX;previsao_total
2025-10-26;10036;42,81;3,7567717201568547;0;0;26,53318114699133;33,4597481583616;26,53318114699133
2025-10-27;10036;61,15;4,113329862133181;0;0;8,650200184732114;13,81666822549746;8,650200184732114
2025-10-28;10036;60,89;4,109068957620483;0;1;10,506360241791304;13,948074251151324;10,506360241791304
2025-10-29;10036;61,15;4,113329862133181;1;0;10,2850038230586;14,354605937788476;10,2850038230586
2025-10-30;10036;58,53;4,069539443303129;0;0;9,92676197279475;15,402141659149127;9,92676197279475
2025-10-31;10036;60,63;4,1047898200836395;0;0;8,88555958927259;14,11256770188627;8,88555958927259
2025-10-02;21120;55,03;4,007878491071668;0;0;71,57277317948206;5,482585204511821;77,05535838399388
2025-10-03;21120;53,77;3,9847156908215866;0;0;78,08577991722832;12,095880573173583;90,18166049040191
2025-10-04;21120;58,57;4,070222620101691;0;0;56,61635269899011;7,150759395038467;63,767112094028576
2025-10-05;21120;56,66;4,03706849440237;0;0;64,13299304192712;9,431711668937185;73,5647047108643
2025-10-06;21120;58,09;4,061993532004442;0;0;58,3955460978502;8,733098883847488;67,12864498169769
2025-10-07;21120;55,27;4,012230265845171;0;1;81,05450603302836;12,99420245612692;94,04870848915527
2025-10-08;21120;83,99;4,430697744137536;1;0;17,749404669090115;2,2562207394059772;20,005625408496094
2025-10-09;21120;66,4;4,1956970564823886;0;0;35,32207193993949;5,8446603788991345;41,166732318838626
2025-10-10;21120;57,18;4,046204186894165;0;0;61,967391740893824;11,603538184455502;73,57092992534933
2025-10-11;21120;57,51;4,051958845725663;0;0;60,640956657576474;11,89152753569889;72,53248419327537
2025-10-12;21120;57,75;4,056123349401903;0;0;59,69879202648828;12,250032567544775;71,94882459403306
2025-10-13;21120;59,9;4,092676505121403;0;0;52,03258667417225;10,98115267818116;63,01373935235341
2025-10-14;21120;60,33;4,09982949245267;0;1;58,30830877438592;12,57722200271174;70,88553077709766
2025-10-15;21120;60,81;4,107754249132018;1;0;59,77782749388377;12,443001357745212;72,22082885162898
2025-10-16;21120;59,63;4,0881588031350145;0;0;52,92400213861;12,757177838372504;65,6811799769825
2025-10-17;21120;59,84;4,091674333666222;0;0;52,22902637995578;13,095470538625703;65,32449691858149
2025-10-18;21120;59,7;4,089332020398556;0;0;52,69104990519971;13,765893551036072;66,45694345623579
