Data;SKU;Preco;previsao_SARIMAX;previsao_TSCV;previsao_total
2025-09-18;21120;61;28,694385137093025;48,59121185378443;28,694385137093025
2025-09-19;21120;62;32,039265188629514;45,711880651388306;32,039265188629514
2025-09-20;21120;60;22,772950572163356;51,70408791947437;74,47703849163773
2025-09-21;21120;61;25,584787851194395;48,59121185378443;25,584787851194395
2025-09-22;21120;62;23,628612312349077;45,711880651388306;23,628612312349077
2025-09-23;21120;59;29,22544440838664;63,400213545064375;92,62565795345101
2025-09-24;21120;59;124,7307900740764;66,93080136873083;124,7307900740764
2025-09-25;21120;57;85,94291400949268;62,69149607518627;85,94291400949268
2025-09-26;21120;57;63,335261138133646;62,69149607518627;63,335261138133646
2025-09-27;21120;57;65,7365653949864;62,69149607518627;65,7365653949864
2025-09-28;21120;56;33,83302346955124;67,00158247981058;33,83302346955124
2025-09-29;21120;56;49,13208431933991;67,00158247981058;49,13208431933991
2025-09-30;21120;57;40,63721056933851;72,16956235383695;40,63721056933851
2025-10-01;21120;54;5,444546127189728;93,3466468809793;98,79119300816903
