Data;SKU;Preco;Log_Preco;Quarta-feira;Terça-feira;previsao_TSCV;previsao_SARIMAX_log;previsao_SARIMAX
2025-10-24;10036;41,01;3,713815939403968;0;0;24,31158572439349;3,719368404078799;41,238339914328506
2025-10-25;10036;40,57;3,703028877218356;0;0;25,455027160255757;3,535670317099685;34,318010955551564
2025-10-26;10036;42,81;3,7567717201568547;0;0;20,245491058776896;3,7136929481334517;41,00495643815953
2025-10-27;10036;61,15;4,113329862133181;0;0;4,431558560236303;3,226345067083707;25,18743016465009
2025-10-28;10036;60,89;4,109068957620483;0;1;5,620044765284188;3,0820927098925086;21,803984098140898
2025-10-29;10036;61,15;4,113329862133181;1;0;5,641694994271141;3,2075340295982917;24,718057010420974
2025-10-30;10036;39,99;3,688629422858727;0;0;27,065632416147125;3,964105571907348;52,67313598151743
2025-10-01;21120;56,61;4,036185648048568;1;0;91,36082169034263;1,725412589711354;5,6148371759009565
2025-10-02;21120;55,03;4,007878491071668;0;0;76,38322126278764;1,9135317795002784;6,776981385953455
2025-10-03;21120;53,77;3,9847156908215866;0;0;84,83123625185232;1,8922190888091954;6,6340739581305295
2025-10-04;21120;58,57;4,070222620101691;0;0;57,593864955515095;1,3374786286972693;3,809426407899717
2025-10-05;21120;56,66;4,03706849440237;0;0;66,92455928981202;1,6129428911522545;5,017555641693628
2025-10-06;21120;58,09;4,061993532004442;0;0;59,78078746426333;1,6533109895859823;5,224248655841982
2025-10-07;21120;55,27;4,012230265845171;0;1;89,07425027216749;1,777455278634232;5,914785769700567
2025-10-08;21120;83,99;4,430697744137536;1;0;15,304270815280871;-0,06830435526053691;0,9339761697542454
2025-10-09;21120;66,4;4,1956970564823886;0;0;32,62769805620508;0,9777714171465597;2,6585248921420055
2025-10-10;21120;57,18;4,046204186894165;0;0;64,21211199615732;1,5115236132178396;4,533633038025709
2025-10-11;21120;57,51;4,051958845725663;0;0;62,56023705721195;1,3369001432924499;3,807223347602564
2025-10-12;21120;57,75;4,056123349401903;0;0;61,39138320938421;1,4302549596948495;4,1797647276226435
2025-10-13;21120;59,9;4,092676505121403;0;0;52,02507673954946;1,430016308252032;4,178767339758519
2025-10-14;21120;60,33;4,09982949245267;0;1;59,9042122845393;1,3772273479372394;3,9638958729127283
2025-10-15;21120;60,81;4,107754249132018;1;0;66,06859467813842;1,3628881426465966;3,907462329275682
2025-10-16;21120;59,63;4,0881588031350145;0;0;53,100472533829084;1,428450384152054;4,172228828015648
2025-10-17;21120;59,84;4,091674333666222;0;0;52,26173862216021;1,2668278172815555;3,549574784437508
2025-10-18;21120;59,7;4,089332020398556;0;0;52,819080893847854;1,1294899072864801;3,094077830968484
2025-10-19;21120;60,05;4,095177548525992;0;0;51,43912167889208;1,2148477133332847;3,3697808525513477
2025-10-20;21120;59,76;4,090336540824562;0;0;52,579335795633504;1,402938187491575;4,067132425979826
2025-10-21;21120;59,76;4,090336540824562;0;1;62,53578465860527;1,3849751236621621;3,994726529413874
2025-10-22;21120;60,05;4,095177548525992;1;0;69,94096051115726;1,383693551657739;3,989610278850452
2025-10-23;21120;57,4;4,050044303325521;0;0;63,105034636139955;1,5651610790135742;4,7834453865062345
2025-10-24;21120;57,25;4,047427642434349;0;0;63,85730665796591;1,4313705577476448;4,184430266963345
2025-10-25;21120;56,25;4,029806041084529;0;0;69,1623432716348;1,3634335573408727;3,909594097943531
2025-10-26;21120;55,85;4,02266952551521;0;0;71,43419864238469;1,5077348047076953;4,51648846984157
2025-10-27;21120;55,57;4,01764348729183;0;0;73,07884187147367;1,6966756091044246;5,45578006523414
2025-10-28;21120;55,46;4,015662040187632;0;1;87,70056262275813;1,6877779862612208;5,4074519135666055
2025-10-29;21120;55,84;4,022490458454117;1;0;97,2067500795226;1,67744402298894;5,351859245123367
2025-10-30;21120;54,55;3,9991177122790798;0;0;79,47474350053969;1,7600911599312923;5,812967279947901
